#    L    TT             EE             BB             TE             PP             TP             EP          
   105   0.286924E+04   0.886877E+00   0.000000E+00  -0.277041E+02   0.104332E-06   0.359768E-03  -0.117278E-05
   106   0.290196E+04   0.901003E+00   0.000000E+00  -0.283833E+02   0.103716E-06   0.355642E-03  -0.116324E-05
   107   0.293485E+04   0.914880E+00   0.000000E+00  -0.290596E+02   0.103104E-06   0.351599E-03  -0.115437E-05
   108   0.296790E+04   0.928485E+00   0.000000E+00  -0.297324E+02   0.102495E-06   0.347635E-03  -0.114635E-05
   109   0.300113E+04   0.941810E+00   0.000000E+00  -0.304012E+02   0.101891E-06   0.343746E-03  -0.113937E-05
   110   0.303450E+04   0.954831E+00   0.000000E+00  -0.310653E+02   0.101289E-06   0.339929E-03  -0.113362E-05
   111   0.306802E+04   0.967542E+00   0.000000E+00  -0.317243E+02   0.100692E-06   0.336180E-03  -0.112924E-05
   112   0.310168E+04   0.979933E+00   0.000000E+00  -0.323773E+02   0.100099E-06   0.332498E-03  -0.112616E-05
   113   0.313548E+04   0.991983E+00   0.000000E+00  -0.330241E+02   0.995094E-07   0.328882E-03  -0.112427E-05
   114   0.316941E+04   0.100368E+01   0.000000E+00  -0.336638E+02   0.989238E-07   0.325329E-03  -0.112345E-05
   115   0.320346E+04   0.101501E+01   0.000000E+00  -0.342960E+02   0.983421E-07   0.321839E-03  -0.112361E-05
   116   0.323762E+04   0.102597E+01   0.000000E+00  -0.349201E+02   0.977643E-07   0.318409E-03  -0.112461E-05
   117   0.327189E+04   0.103654E+01   0.000000E+00  -0.355355E+02   0.971905E-07   0.315038E-03  -0.112635E-05
   118   0.330626E+04   0.104671E+01   0.000000E+00  -0.361416E+02   0.966205E-07   0.311725E-03  -0.112872E-05
   119   0.334073E+04   0.105647E+01   0.000000E+00  -0.367378E+02   0.960544E-07   0.308468E-03  -0.113160E-05
   120   0.337528E+04   0.106582E+01   0.000000E+00  -0.373237E+02   0.954922E-07   0.305266E-03  -0.113488E-05
   121   0.340990E+04   0.107472E+01   0.000000E+00  -0.378985E+02   0.949339E-07   0.302117E-03  -0.113846E-05
   122   0.344459E+04   0.108319E+01   0.000000E+00  -0.384618E+02   0.943796E-07   0.299020E-03  -0.114220E-05
   123   0.347934E+04   0.109121E+01   0.000000E+00  -0.390130E+02   0.938292E-07   0.295973E-03  -0.114602E-05
   124   0.351415E+04   0.109876E+01   0.000000E+00  -0.395514E+02   0.932827E-07   0.292974E-03  -0.114978E-05
   125   0.354899E+04   0.110584E+01   0.000000E+00  -0.400766E+02   0.927402E-07   0.290023E-03  -0.115338E-05
   126   0.358386E+04   0.111245E+01   0.000000E+00  -0.405881E+02   0.922016E-07   0.287118E-03  -0.115671E-05
   127   0.361876E+04   0.111857E+01   0.000000E+00  -0.410852E+02   0.916669E-07   0.284256E-03  -0.115965E-05
   128   0.365368E+04   0.112420E+01   0.000000E+00  -0.415674E+02   0.911362E-07   0.281438E-03  -0.116210E-05
   129   0.368860E+04   0.112933E+01   0.000000E+00  -0.420343E+02   0.906095E-07   0.278660E-03  -0.116394E-05
   130   0.372352E+04   0.113395E+01   0.000000E+00  -0.424851E+02   0.900867E-07   0.275923E-03  -0.116505E-05
   131   0.375842E+04   0.113805E+01   0.000000E+00  -0.429195E+02   0.895680E-07   0.273224E-03  -0.116536E-05
   132   0.379331E+04   0.114165E+01   0.000000E+00  -0.433368E+02   0.890531E-07   0.270562E-03  -0.116487E-05
   133   0.382817E+04   0.114472E+01   0.000000E+00  -0.437368E+02   0.885422E-07   0.267938E-03  -0.116364E-05
