#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.135223E-01   0.124384E+08   0.124221E+08  -0.121493E+04  -0.196967E+04   0.702106E+07   0.124140E+08   0.124358E+08   0.124140E+08  -0.331115E+00   0.632088E+07   0.632046E+07   0.101977E+02
   0.149420E-01   0.119421E+08   0.119232E+08  -0.116124E+04  -0.154911E+04   0.637671E+07   0.119167E+08   0.119392E+08   0.119167E+08  -0.317852E+00   0.606797E+07   0.606755E+07   0.943076E+01
   0.165107E-01   0.114121E+08   0.113903E+08  -0.895317E+03  -0.121266E+04   0.574107E+07   0.113858E+08   0.114087E+08   0.113858E+08  -0.303691E+00   0.579792E+07   0.579749E+07   0.874464E+01
   0.182442E-01   0.108487E+08   0.108237E+08  -0.765883E+03  -0.944331E+03   0.512100E+07   0.108217E+08   0.108448E+08   0.108217E+08  -0.288643E+00   0.551092E+07   0.551047E+07   0.811963E+01
   0.201596E-01   0.102534E+08   0.102250E+08  -0.562017E+03  -0.731114E+03   0.452180E+07   0.102258E+08   0.102489E+08   0.102258E+08  -0.272750E+00   0.520774E+07   0.520728E+07   0.753912E+01
   0.222762E-01   0.962932E+07   0.959754E+07  -0.494525E+03  -0.562451E+03   0.395053E+07   0.960141E+07   0.962431E+07   0.960141E+07  -0.256096E+00   0.489002E+07   0.488955E+07   0.698159E+01
   0.246149E-01   0.898209E+07   0.894701E+07  -0.371409E+03  -0.429768E+03   0.341305E+07   0.895410E+07   0.897656E+07   0.895410E+07  -0.238831E+00   0.456059E+07   0.456011E+07   0.643042E+01
   0.271992E-01   0.832010E+07   0.828211E+07  -0.198496E+03  -0.326099E+03   0.291528E+07   0.829233E+07   0.831412E+07   0.829233E+07  -0.221179E+00   0.422374E+07   0.422327E+07   0.586602E+01
   0.300549E-01   0.765516E+07   0.761499E+07  -0.181775E+03  -0.245775E+03   0.246247E+07   0.762790E+07   0.764883E+07   0.762790E+07  -0.203457E+00   0.388552E+07   0.388504E+07   0.527338E+01
   0.332103E-01   0.700239E+07   0.696117E+07  -0.162099E+03  -0.184158E+03   0.205870E+07   0.697596E+07   0.699589E+07   0.697596E+07  -0.186068E+00   0.355361E+07   0.355315E+07   0.464267E+01
   0.366970E-01   0.637939E+07   0.633863E+07  -0.903618E+02  -0.137433E+03   0.170659E+07   0.635413E+07   0.637297E+07   0.635413E+07  -0.169482E+00   0.323700E+07   0.323657E+07   0.397321E+01
   0.405498E-01   0.580408E+07   0.576560E+07  -0.732643E+02  -0.102430E+03   0.140662E+07   0.578029E+07   0.579802E+07   0.578029E+07  -0.154176E+00   0.294481E+07   0.294441E+07   0.327705E+01
   0.446048E-01   0.531103E+07   0.527646E+07  -0.762337E+02  -0.774809E+02   0.116655E+07   0.528887E+07   0.530558E+07   0.528887E+07  -0.141069E+00   0.269456E+07   0.269421E+07   0.261263E+01
   0.486598E-01   0.491860E+07   0.488885E+07  -0.593405E+02  -0.603112E+02   0.984214E+06   0.489805E+07   0.491392E+07   0.489805E+07  -0.130645E+00   0.249554E+07   0.249524E+07   0.203822E+01
   0.527148E-01   0.459951E+07   0.457479E+07  -0.472953E+02  -0.480687E+02   0.842368E+06   0.458047E+07   0.459562E+07   0.458047E+07  -0.122174E+00   0.233380E+07   0.233355E+07   0.156698E+01
   0.567697E-01   0.433080E+07   0.431068E+07  -0.384078E+02  -0.390358E+02   0.728977E+06   0.431310E+07   0.432763E+07   0.431310E+07  -0.115042E+00   0.219763E+07   0.219743E+07   0.120357E+01
   0.608247E-01   0.409404E+07   0.407766E+07  -0.316359E+02  -0.321531E+02   0.635764E+06   0.407751E+07   0.409146E+07   0.407751E+07  -0.108759E+00   0.207764E+07   0.207747E+07   0.943429E+00
   0.648797E-01   0.387490E+07   0.386110E+07  -0.263218E+02  -0.267521E+02   0.557044E+06   0.385935E+07   0.387273E+07   0.385935E+07  -0.102939E+00   0.196652E+07   0.196637E+07   0.774006E+00
   0.689347E-01   0.366347E+07   0.365104E+07  -0.220472E+02  -0.224075E+02   0.489063E+06   0.364871E+07   0.366151E+07   0.364871E+07  -0.973211E-01   0.185923E+07   0.185909E+07   0.677208E+00
   0.729897E-01   0.345290E+07   0.344078E+07  -0.185369E+02  -0.188398E+02   0.429286E+06   0.343880E+07   0.345099E+07   0.343880E+07  -0.917222E-01   0.175230E+07   0.175216E+07   0.631992E+00
   0.770447E-01   0.324300E+07   0.323041E+07  -0.156264E+02  -0.158817E+02   0.376487E+06   0.322946E+07   0.324102E+07   0.322946E+07  -0.861385E-01   0.164566E+07   0.164551E+07   0.617664E+00
   0.810996E-01   0.303798E+07   0.302447E+07  -0.132114E+02  -0.134272E+02   0.330140E+06   0.302493E+07   0.303585E+07   0.302493E+07  -0.806831E-01   0.154146E+07   0.154131E+07   0.616093E+00
   0.851546E-01   0.284353E+07   0.282906E+07  -0.112161E+02  -0.113993E+02   0.289919E+06   0.283095E+07   0.284125E+07   0.283095E+07  -0.755092E-01   0.144263E+07   0.144248E+07   0.613248E+00
   0.901812E-01   0.262475E+07   0.260943E+07  -0.923102E+01  -0.938179E+01   0.248013E+06   0.261275E+07   0.262234E+07   0.261275E+07  -0.696893E-01   0.133146E+07   0.133130E+07   0.594691E+00
   0.952077E-01   0.243685E+07   0.242144E+07  -0.768925E+01  -0.781483E+01   0.214051E+06   0.242546E+07   0.243442E+07   0.242546E+07  -0.646937E-01   0.123604E+07   0.123588E+07   0.553407E+00
   0.100234E+00   0.228269E+07   0.226803E+07  -0.649888E+01  -0.660500E+01   0.186927E+06   0.227193E+07   0.228038E+07   0.227193E+07  -0.605986E-01   0.115781E+07   0.115766E+07   0.491905E+00
   0.105261E+00   0.216003E+07   0.214683E+07  -0.557695E+01  -0.566802E+01   0.165339E+06   0.214991E+07   0.215795E+07   0.214991E+07  -0.573440E-01   0.109564E+07   0.109551E+07   0.418815E+00
   0.110287E+00   0.206188E+07   0.205052E+07  -0.485002E+01  -0.492921E+01   0.147885E+06   0.205237E+07   0.206009E+07   0.205237E+07  -0.547425E-01   0.104594E+07   0.104583E+07   0.345012E+00
   0.115314E+00   0.197885E+07   0.196934E+07  -0.425839E+01  -0.432792E+01   0.133287E+06   0.196991E+07   0.197735E+07   0.196991E+07  -0.525428E-01   0.100392E+07   0.100382E+07   0.280265E+00
   0.120340E+00   0.190192E+07   0.189394E+07  -0.375858E+01  -0.381994E+01   0.120553E+06   0.189348E+07   0.190066E+07   0.189348E+07  -0.505043E-01   0.964978E+06   0.964895E+06   0.230995E+00
   0.125367E+00   0.182435E+07   0.181736E+07  -0.332228E+01  -0.337653E+01   0.109024E+06   0.181633E+07   0.182325E+07   0.181633E+07  -0.484464E-01   0.925665E+06   0.925590E+06   0.199365E+00
   0.130394E+00   0.174267E+07   0.173610E+07  -0.293373E+01  -0.298163E+01   0.983605E+05   0.173500E+07   0.174163E+07   0.173500E+07  -0.462772E-01   0.884224E+06   0.884152E+06   0.183607E+00
   0.135420E+00   0.165691E+07   0.165025E+07  -0.258615E+01  -0.262837E+01   0.884737E+05   0.164953E+07   0.165586E+07   0.164953E+07  -0.439976E-01   0.840674E+06   0.840601E+06   0.179214E+00
   0.140447E+00   0.156965E+07   0.156261E+07  -0.227767E+01  -0.231485E+01   0.794154E+05   0.156253E+07   0.156854E+07   0.156253E+07  -0.416771E-01   0.796341E+06   0.796265E+06   0.180507E+00
   0.145473E+00   0.148470E+07   0.147719E+07  -0.200799E+01  -0.204077E+01   0.712797E+05   0.147781E+07   0.148351E+07   0.147781E+07  -0.394173E-01   0.753168E+06   0.753089E+06   0.182141E+00
   0.150500E+00   0.140602E+07   0.139819E+07  -0.177661E+01  -0.180561E+01   0.641456E+05   0.139937E+07   0.140478E+07   0.139937E+07  -0.373251E-01   0.713196E+06   0.713115E+06   0.180239E+00
   0.155526E+00   0.133688E+07   0.132900E+07  -0.158180E+01  -0.160761E+01   0.580374E+05   0.133048E+07   0.133564E+07   0.133048E+07  -0.354876E-01   0.678089E+06   0.678009E+06   0.172943E+00
   0.160553E+00   0.127877E+07   0.127116E+07  -0.141981E+01  -0.144298E+01   0.528951E+05   0.127263E+07   0.127757E+07   0.127263E+07  -0.339445E-01   0.648607E+06   0.648530E+06   0.160375E+00
   0.165579E+00   0.123094E+07   0.122386E+07  -0.128505E+01  -0.130602E+01   0.485741E+05   0.122506E+07   0.122983E+07   0.122506E+07  -0.326756E-01   0.624364E+06   0.624292E+06   0.144152E+00
   0.170606E+00   0.119099E+07   0.118460E+07  -0.117125E+01  -0.119036E+01   0.448879E+05   0.118536E+07   0.118998E+07   0.118536E+07  -0.316169E-01   0.604134E+06   0.604070E+06   0.126660E+00
   0.175633E+00   0.115592E+07   0.115025E+07  -0.107271E+01  -0.109022E+01   0.416557E+05   0.115053E+07   0.115503E+07   0.115053E+07  -0.306879E-01   0.586384E+06   0.586326E+06   0.110311E+00
   0.180659E+00   0.112274E+07   0.111770E+07  -0.984824E+00  -0.100090E+01   0.387256E+05   0.111758E+07   0.112195E+07   0.111758E+07  -0.298088E-01   0.569589E+06   0.569536E+06   0.969417E-01
