#    L    TT             EE             TE             PP             TP          
   263   0.498256E+04   0.354986E+01   0.845043E+02   0.217499E+07   0.153034E+04
   264   0.495559E+04   0.365917E+01   0.858683E+02   0.216624E+07   0.151765E+04
   265   0.492822E+04   0.377058E+01   0.872114E+02   0.215754E+07   0.150506E+04
   266   0.490045E+04   0.388407E+01   0.885314E+02   0.214890E+07   0.149255E+04
   267   0.487230E+04   0.399962E+01   0.898278E+02   0.214032E+07   0.148013E+04
   268   0.484377E+04   0.411721E+01   0.911012E+02   0.213179E+07   0.146780E+04
   269   0.481485E+04   0.423683E+01   0.923495E+02   0.212331E+07   0.145555E+04
   270   0.478557E+04   0.435846E+01   0.935735E+02   0.211489E+07   0.144339E+04
   271   0.475593E+04   0.448207E+01   0.947709E+02   0.210652E+07   0.143132E+04
   272   0.472595E+04   0.460766E+01   0.959426E+02   0.209820E+07   0.141932E+04
   273   0.469564E+04   0.473516E+01   0.970870E+02   0.208994E+07   0.140741E+04
   274   0.466499E+04   0.486459E+01   0.982051E+02   0.208173E+07   0.139559E+04
   275   0.463404E+04   0.499589E+01   0.992946E+02   0.207357E+07   0.138384E+04
   276   0.460279E+04   0.512906E+01   0.100356E+03   0.206546E+07   0.137218E+04
   277   0.457125E+04   0.526406E+01   0.101389E+03   0.205740E+07   0.136059E+04
   278   0.453944E+04   0.540086E+01   0.102391E+03   0.204939E+07   0.134908E+04
   279   0.450735E+04   0.553942E+01   0.103364E+03   0.204143E+07   0.133766E+04
   280   0.447502E+04   0.567970E+01   0.104307E+03   0.203352E+07   0.132630E+04
   281   0.444243E+04   0.582169E+01   0.105219E+03   0.202566E+07   0.131503E+04
   282   0.440962E+04   0.596533E+01   0.106100E+03   0.201785E+07   0.130383E+04
   283   0.437659E+04   0.611059E+01   0.106948E+03   0.201008E+07   0.129270E+04
   284   0.434334E+04   0.625744E+01   0.107764E+03   0.200237E+07   0.128165E+04
   285   0.430989E+04   0.640582E+01   0.108548E+03   0.199469E+07   0.127067E+04
   286   0.427625E+04   0.655572E+01   0.109298E+03   0.198707E+07   0.125976E+04
   287   0.424244E+04   0.670706E+01   0.110016E+03   0.197949E+07   0.124892E+04
   288   0.420847E+04   0.685983E+01   0.110699E+03   0.197196E+07   0.123816E+04
   289   0.417433E+04   0.701396E+01   0.111348E+03   0.196447E+07   0.122746E+04
   290   0.414006E+04   0.716942E+01   0.111962E+03   0.195702E+07   0.121683E+04
   291   0.410567E+04   0.732617E+01   0.112541E+03   0.194962E+07   0.120627E+04
   292   0.407115E+04   0.748409E+01   0.113086E+03   0.194226E+07   0.119578E+04
   293   0.403651E+04   0.764322E+01   0.113594E+03   0.193495E+07   0.118535E+04
   294   0.400179E+04   0.780350E+01   0.114066E+03   0.192768E+07   0.117499E+04
   295   0.396697E+04   0.796477E+01   0.114502E+03   0.192045E+07   0.116469E+04
   296   0.393207E+04   0.812709E+01   0.114902E+03   0.191326E+07   0.115445E+04
   297   0.389710E+04   0.829032E+01   0.115263E+03   0.190612E+07   0.114428E+04
   298   0.386207E+04   0.845444E+01   0.115587E+03   0.189901E+07   0.113417E+04
   299   0.382700E+04   0.861937E+01   0.115873E+03   0.189194E+07   0.112412E+04
   300   0.379190E+04   0.878504E+01   0.116122E+03   0.188492E+07   0.111413E+04
   301   0.375677E+04   0.895152E+01   0.116333E+03   0.187793E+07   0.110420E+04
   302   0.372164E+04   0.911857E+01   0.116506E+03   0.187098E+07   0.109433E+04
   303   0.368651E+04   0.928628E+01   0.116641E+03   0.186407E+07   0.108452E+04
   304   0.365139E+04   0.945457E+01   0.116738E+03   0.185720E+07   0.107476E+04
   305   0.361631E+04   0.962336E+01   0.116797E+03   0.185037E+07   0.106507E+04
   306   0.358126E+04   0.979267E+01   0.116818E+03   0.184358E+07   0.105544E+04
   307   0.354626E+04   0.996233E+01   0.116801E+03   0.183682E+07   0.104587E+04
   308   0.351131E+04   0.101324E+02   0.116746E+03   0.183010E+07   0.103637E+04
   309   0.347644E+04   0.103027E+02   0.116653E+03   0.182342E+07   0.102692E+04
   310   0.344163E+04   0.104731E+02   0.116522E+03   0.181678E+07   0.101754E+04
   311   0.340692E+04   0.106438E+02   0.116352E+03   0.181017E+07   0.100821E+04
   312   0.337229E+04   0.108146E+02   0.116144E+03   0.180359E+07   0.998953E+03
   313   0.333778E+04   0.109854E+02   0.115898E+03   0.179706E+07   0.989755E+03
   314   0.330338E+04   0.111561E+02   0.115614E+03   0.179056E+07   0.980621E+03
   315   0.326909E+04   0.113267E+02   0.115292E+03   0.178409E+07   0.971550E+03
   316   0.323495E+04   0.114972E+02   0.114932E+03   0.177766E+07   0.962542E+03
   317   0.320095E+04   0.116674E+02   0.114535E+03   0.177127E+07   0.953598E+03
   318   0.316711E+04   0.118373E+02   0.114100E+03   0.176491E+07   0.944718E+03
   319   0.313343E+04   0.120068E+02   0.113628E+03   0.175858E+07   0.935903E+03
   320   0.309992E+04   0.121760E+02   0.113118E+03   0.175229E+07   0.927152E+03
   321   0.306661E+04   0.123447E+02   0.112572E+03   0.174604E+07   0.918467E+03
