#           k/h    P           
   0.913620E+00   0.525831E+03
   0.932076E+00   0.516340E+03
   0.950906E+00   0.506952E+03
   0.970115E+00   0.497662E+03
   0.989713E+00   0.488466E+03
   0.100971E+01   0.479361E+03
   0.103010E+01   0.470343E+03
   0.105091E+01   0.461410E+03
   0.107214E+01   0.452559E+03
   0.109380E+01   0.443789E+03
   0.111590E+01   0.435096E+03
   0.113844E+01   0.426481E+03
   0.116144E+01   0.417941E+03
   0.118490E+01   0.409477E+03
   0.120884E+01   0.401087E+03
   0.123326E+01   0.392773E+03
   0.125817E+01   0.384534E+03
   0.128359E+01   0.376371E+03
   0.130952E+01   0.368284E+03
   0.133597E+01   0.360275E+03
   0.136296E+01   0.352344E+03
   0.139049E+01   0.344493E+03
   0.141858E+01   0.336723E+03
   0.144724E+01   0.329035E+03
   0.147648E+01   0.321433E+03
   0.150630E+01   0.313916E+03
   0.153673E+01   0.306487E+03
   0.156778E+01   0.299148E+03
   0.159945E+01   0.291900E+03
   0.163176E+01   0.284745E+03
   0.166472E+01   0.277685E+03
   0.169835E+01   0.270722E+03
   0.173266E+01   0.263858E+03
   0.176766E+01   0.257095E+03
   0.180337E+01   0.250434E+03
   0.183980E+01   0.243877E+03
   0.187697E+01   0.237424E+03
   0.191489E+01   0.231077E+03
   0.195357E+01   0.224838E+03
   0.199304E+01   0.218707E+03
   0.203330E+01   0.212686E+03
   0.207437E+01   0.206775E+03
   0.211628E+01   0.200975E+03
   0.215903E+01   0.195286E+03
   0.220265E+01   0.189710E+03
   0.224714E+01   0.184246E+03
   0.229254E+01   0.178894E+03
   0.233885E+01   0.173655E+03
   0.238610E+01   0.168527E+03
   0.243430E+01   0.163512E+03
   0.248348E+01   0.158608E+03
   0.253365E+01   0.153815E+03
   0.258483E+01   0.149132E+03
   0.263704E+01   0.144559E+03
   0.269032E+01   0.140095E+03
   0.274466E+01   0.135739E+03
   0.280011E+01   0.131489E+03
   0.285668E+01   0.127346E+03
   0.291439E+01   0.123308E+03
   0.297326E+01   0.119373E+03
   0.303332E+01   0.115540E+03
   0.309460E+01   0.111808E+03
   0.315712E+01   0.108175E+03
   0.322090E+01   0.104641E+03
   0.328596E+01   0.101202E+03
   0.335234E+01   0.978583E+02
   0.342006E+01   0.946076E+02
   0.348916E+01   0.914484E+02
   0.355964E+01   0.883790E+02
   0.363155E+01   0.853977E+02
   0.370491E+01   0.825029E+02
   0.377976E+01   0.796928E+02
   0.385611E+01   0.769657E+02
   0.393401E+01   0.743200E+02
   0.401348E+01   0.717539E+02
   0.409456E+01   0.692656E+02
   0.417727E+01   0.668535E+02
   0.426166E+01   0.645158E+02
   0.434775E+01   0.622508E+02
   0.443558E+01   0.600569E+02
   0.452519E+01   0.579322E+02
   0.461660E+01   0.558751E+02
   0.470987E+01   0.538838E+02
   0.480501E+01   0.519564E+02
   0.490208E+01   0.500909E+02
   0.500111E+01   0.482855E+02
   0.510214E+01   0.465385E+02
   0.520521E+01   0.448482E+02
   0.531036E+01   0.432128E+02
   0.541763E+01   0.416308E+02
   0.552708E+01   0.401005E+02
   0.563873E+01   0.386205E+02
   0.575264E+01   0.371893E+02
   0.586885E+01   0.358056E+02
   0.598741E+01   0.344685E+02
   0.610836E+01   0.331772E+02
   0.623176E+01   0.319307E+02
   0.635765E+01   0.307280E+02
   0.648609E+01   0.295682E+02
   0.661711E+01   0.284502E+02
   0.675079E+01   0.273729E+02
   0.688716E+01   0.263354E+02
   0.702629E+01   0.253366E+02
